2023-05-18 16:50:43.997 [main] INFO  com.example.isochannelproject.Client - Sending request to the server
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.arch=amd64
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.version=10.0
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.name=rocki
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.home=C:\Users\rocki
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.dir=D:\SpringBoot\ISOChannelProject
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.memory.free=226MB
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.memory.max=3948MB
2023-05-18 16:50:44.013 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.memory.total=248MB
2023-05-18 16:50:44.016 [main] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=35.223.9.119 sessionTimeout=2181 watcher=com.example.isochannelproject.DistributedSequence$1@139982de
2023-05-18 16:50:44.021 [main] INFO  org.apache.zookeeper.common.X509Util - Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation
2023-05-18 16:50:44.274 [main] INFO  o.apache.zookeeper.ClientCnxnSocket - jute.maxbuffer value is 1048575 Bytes
2023-05-18 16:50:44.283 [main] INFO  org.apache.zookeeper.ClientCnxn - zookeeper.request.timeout value is 0. feature enabled=false
2023-05-18 16:50:44.529 [main-SendThread(35.223.9.119:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 119.9.223.35.bc.googleusercontent.com/35.223.9.119:2181.
2023-05-18 16:50:44.530 [main-SendThread(35.223.9.119:2181)] INFO  org.apache.zookeeper.ClientCnxn - SASL config status: Will not attempt to authenticate using SASL (unknown error)
2023-05-18 16:50:44.747 [main-SendThread(35.223.9.119:2181)] INFO  org.apache.zookeeper.ClientCnxn - Socket connection established, initiating session, client: /10.2.0.2:56716, server: 119.9.223.35.bc.googleusercontent.com/35.223.9.119:2181
2023-05-18 16:50:45.129 [main-SendThread(35.223.9.119:2181)] INFO  org.apache.zookeeper.ClientCnxn - Session establishment complete on server 119.9.223.35.bc.googleusercontent.com/35.223.9.119:2181, session id = 0x10ebf64b421027f, negotiated timeout = 4000
2023-05-18 16:50:45.432 [main] INFO  com.example.isochannelproject.Client - received response from the server
